Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR,NameASCII,PlayerId,MLBAMID
Daniel Vogelbach,SEA,144,558,30,73,76,0,0.164874551,0.267025089,0.231601732,0.231578947,0.207792207,0.340501792,0.439393939,0.33281487,0.345489585,111.5153711,-1.738044026,6.474469863,-15.9951272,1.034958814,Daniel Vogelbach,14130,596129
Jurickson Profar,OAK,139,518,20,65,67,9,0.092664092,0.144787644,0.191721133,0.217983651,0.217864923,0.301158301,0.409586056,0.301385195,0.329288301,89.52165573,1.71534818,-5.221886742,-3.131670952,1.0078378,Jurickson Profar,10815,595777
Ryan McMahon,COL,141,539,24,70,83,5,0.103896103,0.296846011,0.2,0.323232323,0.25,0.328996282,0.45,0.329629867,0.324647565,88.95937081,-0.083855837,-7.935276613,-0.586683273,0.844490132,Ryan McMahon,15112,641857
Rougned Odor,TEX,145,581,30,77,93,11,0.08950086,0.30636833,0.233716476,0.244444444,0.204980842,0.28275862,0.438697318,0.301605127,0.321781769,77.03191619,-0.226735885,-17.28225236,4.607263565,0.809361023,Rougned Odor,12282,596059
Joey Votto,CIN,142,608,15,79,47,5,0.125,0.202302631,0.150476191,0.312820512,0.26095238,0.356907894,0.411428571,0.331533028,0.350201022,98.26545104,-2.141736859,-3.533149055,-7.652117014,0.799876776,Joey Votto,4314,458015
Brandon Crawford,SFG,147,560,11,58,59,3,0.094642857,0.208928571,0.122,0.27393617,0.228,0.303571428,0.35,0.280800743,0.305619914,73.1508649,-0.911177263,-20.74854256,9.777552843,0.671772398,Brandon Crawford,5343,543063
Alex Gordon,KCR,150,633,13,77,76,5,0.08056872,0.157977883,0.129496403,0.300668151,0.26618705,0.344936708,0.395683453,0.318691191,0.32970874,95.44524545,-2.880647442,-6.565606505,-9.564501762,0.656395476,Alex Gordon,5209,460086
Josh Reddick,HOU,141,550,14,57,56,5,0.065454545,0.12,0.133732535,0.288372093,0.275449101,0.318681318,0.409181636,0.307738386,0.316593838,92.43068794,-0.105428017,-5.426303286,-7.705592752,0.656111617,Josh Reddick,3892,502210
Kevin Pillar,- - -,161,645,21,83,88,14,0.027906976,0.137984496,0.173486088,0.269685039,0.258592471,0.286821705,0.432078559,0.297695555,0.29921886,84.11165483,3.006826327,-10.38602228,-4.227016106,0.588697044,Kevin Pillar,12434,607680
Brandon Belt,SFG,156,616,17,76,57,4,0.134740259,0.206168831,0.169201521,0.274611398,0.233840304,0.339285714,0.403041825,0.319112134,0.346461944,98.25138972,-3.883691376,-5.304839684,-8.787218571,0.542366053,Brandon Belt,10264,474832
Dexter Fowler,STL,150,574,19,69,67,8,0.12891986,0.247386759,0.170431211,0.293939393,0.238193018,0.345549738,0.408624229,0.325764146,0.340166592,103.4803608,-2.193552784,0.442182711,-13.19570088,0.542073438,Dexter Fowler,4062,451594
Colin Moran,PIT,149,503,13,46,80,0,0.059642147,0.232604373,0.152360515,0.34117647,0.276824034,0.322067594,0.429184549,0.315159987,0.315935465,93.40326637,-1.27464257,-5.652509905,-5.994094372,0.429313076,Colin Moran,16909,592567
